종목코드,종목명
33170,시그네틱스
260870,시그넷이브이
246830,시냅스엠
48870,시너지이노베이션
25320,시노펙스
134790,시디즈
269620,시스웍
131090,시큐브
232830,시큐센
16590,신대양제지
29530,신도리코
4970,신라교역
1000,신라섬유
25870,신라에스지
215600,신라젠
65350,신성델타테크
11930,신성이엔지
5390,신성통상
4170,신세계
35510,신세계 I&C
34300,신세계건설
31430,신세계인터내셔날
31440,신세계푸드
6880,신송홀딩스
56000,신스타임즈
2800,신신제약
5800,신영와코루
1720,신영증권
1725,신영증권우
9270,신원
9275,신원우
17000,신원종합개발
2700,신일산업
12790,신일제약
138070,신진에스엠
19170,신풍제약
19175,신풍제약우
2870,신풍제지
5450,신한
257730,신한제3호스팩
277480,신한제4호스팩
55550,신한지주
1770,신화실업
56700,신화인터텍
187270,신화콘텍
4080,신흥
243840,신흥에스이씨
108320,실리콘웍스
222800,심텍
36710,심텍홀딩스
160980,싸이맥스
102280,쌍방울
3410,쌍용양회
3415,쌍용양회우
10280,쌍용정보통신
3620,쌍용차
4770,써니전자
217320,썬테크
122800,썬텍
208640,썸에이지
222420,쎄노텍
37760,쎄니트
136510,쎄미시스코
99320,쎄트렉아이
49960,쎌바이오텍
50890,쏠리드
66790,씨씨에스
222080,씨아이에스
4920,씨아이테크
236030,씨알푸드
103660,씨앗
245450,씨앤에스링크
264660,씨앤지하이테크
112610,씨에스윈드
115530,씨엔플러스
225330,씨엠에스에듀
115480,씨유메디칼
189330,씨이랩
96530,씨젠
900120,씨케이에이치
101240,씨큐브
47920,씨트리
189540,씨티네트웍스
60590,씨티씨바이오
36170,씨티엘
260930,씨티케이코스메틱스
13990,아가방컴퍼니
123860,아나패스
8700,아남전자
58220,아리온
2790,아모레G
2795,아모레G우
90430,아모레퍼시픽
90435,아모레퍼시픽우
52710,아모텍
74430,아미노로직스
92040,아미코젠
83930,아바코
149950,아바텍
36010,아비코전자
2030,아세아
183190,아세아시멘트
2310,아세아제지
50860,아세아텍
246720,아스타
67390,아스트
127710,아시아경제
20560,아시아나항공
154030,아시아종묘
227610,아우딘퓨쳐스
143160,아이디스
54800,아이디스홀딩스
60570,아이리버
122900,아이마켓코리아
99190,아이센스
214430,아이쓰리시스템
40910,아이씨디
68940,아이씨케이
52860,아이앤씨
10780,아이에스동서
69920,아이에스이커머스
38880,아이에이
79440,아이엔지생명
101390,아이엠
226350,아이엠텍
78860,아이오케이
114810,아이원스
31310,아이즈비전
185490,아이진
59100,아이컴포넌트
149010,아이케이세미콘
52460,아이크래프트
119830,아이텍반도체
124500,아이티센
33660,아주캐피탈
32080,아즈텍WB
13310,아진산업
59120,아진엑스텍
23890,아트라스BX
101140,아티스
67160,아프리카TV
1540,안국약품
53800,안랩
251280,안지오랩
65660,안트로젠
271400,알로이스
1780,알루코
260660,알리코제약
2250,알보젠코리아
106080,알비케이이엠디
131370,알서포트
140670,알에스오토메이션
96610,알에프세미
61040,알에프텍
148250,알엔투테크놀로지
196170,알테오젠
123750,알톤스포츠
85810,알티캐스트
117670,알파홀딩스
267810,앙츠
18250,애경산업
161000,애경유화
196300,애니젠
205500,액션스퀘어
52790,액토즈소프트
131400,액트
238090,앤디포스
174900,앱클론
255440,야스
30960,양지사
102120,어보브반도체
224810,엄지하우스
41590,에너전트
19990,에너토크
11090,에넥스
208890,에듀케이션파트너
25980,에머슨퍼시픽
41440,에버다임
270660,에브리봇
38680,에스넷
217480,에스디생명공학
121890,에스디시스템
30270,에스마크
97780,에스맥
42110,에스씨디
65420,에스아이리소스
270210,에스알바이오텍
103230,에스앤더블류
260970,에스앤디
900080,에스앤씨엔진그룹
101490,에스앤에스텍
95910,에스에너지
31330,에스에이엠티
60540,에스에이티
158300,에스에이티이엔지
112240,에스에프씨
56190,에스에프에이
80000,에스엔유
160600,에스엔텍
263920,에스엔피월드
86460,에스엔피제네틱스
5850,에스엘
246250,에스엘에스바이오
41510,에스엠
7820,에스엠코어
251540,에스와이제이
109610,에스와이패널
12750,에스원
80440,에스제이케이
217910,에스제이켐
224020,에스케이씨에스
96630,에스코넥
69510,에스텍
41910,에스텍파마
234300,에스트래픽
39440,에스티아이
98660,에스티오
52020,에스티큐브
237690,에스티팜
50760,에스폴리텍
58610,에스피지
43340,에쎈테크
23960,에쓰씨엔지니어링
54630,에이디칩스
200710,에이디테크놀로지
140910,에이리츠
78520,에이블씨엔씨
203400,에이비온
3800,에이스침대
88800,에이스테크
138360,에이씨티
50320,에이앤티앤
15260,에이엔피
234070,에이원알폼
72990,에이치시티
44990,에이치엔에스하이텍
176440,에이치엔티
28300,에이치엘비
67630,에이치엘비생명과학
43220,에이치엘비파워
239610,에이치엘사이언스
226340,에이치엠씨3호스팩
44780,에이치케이
71670,에이테크솔루션
45660,에이텍
224110,에이텍티앤
21080,에이티넘인베스트
89530,에이티세미콘
182400,에이티젠
73570,에이티테크놀러지
109960,에이프로젠 H&G
7460,에이프로젠 KIC
3060,에이프로젠제약
43580,에임하이
214870,에치디프로
64510,에코마이스터
230360,에코마케팅
38870,에코바이오
86520,에코프로
38110,에코플라스틱
73540,에프알텍
64850,에프앤가이드
64090,에프앤리퍼블릭
36810,에프에스티
63440,에프엔씨애드컬쳐
173940,에프엔씨엔터
83500,에프엔에스테크
65160,에프티이앤이
54940,엑사이엔씨
950130,엑세스바이오
205100,엑셈
92870,엑시콘
67570,엔브이에이치코리아
101400,엔시트론
36570,엔씨소프트
217820,엔에스
138250,엔에스쇼핑
31860,엔에스엔
224760,엔에스컴퍼니
256630,엔에이치스팩10호
256840,엔에이치스팩11호
273060,엔에이치스팩12호
208860,엔지스테크널러지
183490,엔지켐생명과학
85310,엔케이
9810,엔케이물산
206400,엔터메이트
69410,엔텔스
48830,엔피케이
96870,엘디티
900140,엘브이엠씨홀딩스
61970,엘비세미콘
138690,엘아이에스
66970,엘앤에프
156100,엘앤케이바이오
73110,엘엠에스
83310,엘오티베큠
37950,엘컴텍
170920,엘티씨
183350,엘피케이
58630,엠게임
58970,엠로
19590,엠벤처투자
97520,엠씨넥스
225860,엠앤씨생명과학
9780,엠에스씨
123040,엠에스오토텍
251960,엠에프엠코리아
32790,엠젠플러스
33160,엠케이전자
259630,엠플러스
115960,연우
90740,연이정보통신
14440,영보화학
7530,영신금속
143540,영우디에스피
111770,영원무역
9970,영원무역홀딩스
36180,영인프런티어
3520,영진약품
670,영풍
36560,영풍정밀
6740,영풍제지
242850,영현무역
12280,영화금속
265560,영화테크
12160,영흥철강
36000,예림당
53280,예스24
15360,예스코홀딩스
122640,예스티
179720,옐로페이
900300,오가닉티코스메틱
45060,오공
80520,오디텍
7310,오뚜기
39830,오로라
46120,오르비텍
14940,오리엔탈정공
2630,오리엔트바이오
65500,오리엔트정공
271560,오리온
1800,오리온홀딩스
10470,오리콤
227420,오백볼트
53980,오상자이엘
52420,오성첨단소재
241790,오션브릿지
39200,오스코텍
226400,오스테오닉
31510,오스템
48260,오스템임플란트
138080,오이솔루션
80580,오킨스전자
67170,오텍
173130,오파스넷
49480,오픈베이스
57540,옴니시스템
57680,옴니텔
123010,옵토팩
82210,옵트론텍
109080,옵티시스
52770,와이디온라인
57030,와이비엠넷
122990,와이솔
232140,와이아이케이
67900,와이엔텍
155650,와이엠씨
251370,와이엠티
66430,와이오엠
193250,와이제이엠게임즈
19210,와이지-원
122870,와이지엔터테인먼트
79000,와토스코리아
900180,완리
70960,용평리조트
114630,우노앤컴퍼니
32820,우리기술
41190,우리기술투자
115440,우리넷
4720,우리들제약
118000,우리들휴브레인
46970,우리로
215360,우리산업
72470,우리산업홀딩스
73560,우리손에프앤지
30,우리은행
153490,우리이앤엘
82850,우리이티아이
37400,우리조명
10050,우리종금
101170,우림기계
6980,우성사료
194610,우성아이비
66590,우수AMS
17370,우신시스템
46940,우원개발
215380,우정바이오
65680,우주일렉트로
105840,우진
18620,우진비앤지
49800,우진플라임
16880,웅진
95720,웅진씽크빅
103130,웅진에너지
5820,원림
32940,원익
240810,원익IPS
74600,원익QnC
104830,원익머트리얼즈
14190,원익큐브
123100,원익테라세미콘
30530,원익홀딩스
12620,원일특강
216280,원텍
8370,원풍
8290,원풍물산
101160,월덱스
95270,웨이브일렉트로
10600,웰바이오텍
65950,웰크론
114190,웰크론강원
76080,웰크론한텍
196700,웹스
69080,웹젠
26260,위너지스
44340,위닉스
112040,위메이드
65370,위세아이텍
140660,위월드
38620,위즈코프
